date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-beefy,forecasted_TVL_opchain-beefy
2025-01-20 00:00:00,0.24604904062535357,0.16985501133553899,0.04421027357597746,2.985774709377645e-05,0.0,0.0,,
2025-01-21 00:00:00,0.32295038745374227,0.19127309205378182,0.04318537452112011,3.340725371833183e-05,0.0,0.0,,
2025-01-22 00:00:00,0.2480127909533863,0.2493916212867765,0.03910890355868573,2.579970139659798e-05,0.0,0.0,,
2025-01-23 00:00:00,0.16655193298882012,0.19330178364369272,0.06972975772697444,3.208077737006039e-05,0.0,0.0,,
2025-01-24 00:00:00,0.24692444916338244,0.34298683897016385,0.040092503821221245,2.0602998315292382e-05,0.0,0.0,,
2025-01-25 00:00:00,0.19695829368248713,0.09319838490782426,0.07296100438435385,2.9739420816965866e-05,0.0,0.0,,
2025-01-26 00:00:00,0.31198887711047535,0.24017236514789295,0.0730169244936961,2.323573494095673e-05,0.0,0.0,,
2025-01-27 00:00:00,0.13458462524183934,0.2526162503811603,0.04161117431688321,2.8560040192014e-05,0.0,0.0,,
2025-01-28 00:00:00,0.23560269837003442,0.14599226783020886,0.0432514442200503,3.026916854702361e-05,0.0,0.0,,
2025-01-29 00:00:00,0.2552107468375104,0.20974681324054942,0.08043084642118514,2.376166266795537e-05,0.0,0.0,,
2025-01-30 00:00:00,0.2624040891935489,0.17095024286327368,0.0587457826388343,2.6775590607820503e-05,0.0,0.0,,
2025-01-31 00:00:00,0.2691205266990988,0.23734774095263889,0.06486696521145924,2.6899305560894303e-05,0.0,0.0,,
2025-02-01 00:00:00,0.25404140159174937,0.20996412210059343,0.06131916728643056,3.549922489200363e-05,0.0,0.0,,
2025-02-02 00:00:00,0.2642554089870098,0.16809922105677377,0.0607886354120367,2.8119504726106368e-05,0.0,0.0,,
2025-02-03 00:00:00,0.2618085328347962,0.2256494367480115,0.04523141988803079,2.5127874506878528e-05,0.0,0.0,,
2025-02-04 00:00:00,0.17437127114145864,0.23715599348740463,0.05770519932103173,2.3378866398109715e-05,0.0,0.0,,
2025-02-05 00:00:00,0.19025272827146802,0.21067467726691141,0.06163771899700773,1.5666259950658156e-05,0.0,0.0,,
2025-02-06 00:00:00,0.17243432725272567,0.22827687145996395,0.0570127558714918,2.8934170014680036e-05,0.0,0.0,,
2025-02-07 00:00:00,0.1645260675466533,0.23299372251210196,0.04606986890513531,3.306028519645648e-05,0.0,0.0,,
2025-02-08 00:00:00,0.24055984614021964,0.14164188143539724,0.07093779329587488,3.6036625212312727e-05,0.0,0.0,,
2025-02-09 00:00:00,0.37353921052616473,0.24122602451897907,0.05175261307540699,2.461888312708931e-05,0.0,0.0,,
2025-02-10 00:00:00,0.23625637229437865,0.17906698251944764,0.032725391325079976,2.83218724276702e-05,0.0,0.0,,
2025-02-11 00:00:00,0.2716956127526259,0.1837177827956628,0.04998864228926145,2.1483168348689336e-05,0.0,0.0,,
